Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
125	N Braun, S Debener, N Spychala, E Bongartz, ...	The senses of agency and ownership: a review	2018	Frontiers in …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00535/full	https://scholar.google.com/scholar?cites=18018408446917551554&as_sdt=2005&sciodt=2007&hl=en	184	2021-12-16 4:18:54	HTML	10.3389/fpsyg.2018.00535							125	41.67	25	5	3	Usually, we do not question that we possess a body and act upon the world. This pre-reflective awareness of being a bodily and agentive self can, however, be disrupted by different clinical conditions. Whereas sense of ownership (SoO) describes the feeling of mineness …	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00535/full	https://scholar.google.com/scholar?q=related:wiVrUAQ_DvoJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
124	R Kaplan, KJ Friston	Planning and navigation as active inference	2018	Biological cybernetics	Springer	https://link.springer.com/article/10.1007/s00422-018-0753-2	https://scholar.google.com/scholar?cites=11778017516105161246&as_sdt=2005&sciodt=2007&hl=en	201	2021-12-16 9:10:44	HTML	10.1007/s00422-018-0753-2							124	41.33	62	2	3	This paper introduces an active inference formulation of planning and navigation. It illustrates how the exploitation–exploration dilemma is dissolved by acting to minimise uncertainty (ie expected surprise or free energy). We use simulations of a maze problem to …	https://link.springer.com/article/10.1007/s00422-018-0753-2	https://scholar.google.com/scholar?q=related:HtrGPYfsc6MJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
120	W Gerstner, M Lehmann, V Liakoni, ...	Eligibility traces and plasticity on behavioral time scales: experimental support of neohebbian three-factor learning rules	2018	Frontiers in neural …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fncir.2018.00053/full	https://scholar.google.com/scholar?cites=16302199689733356739&as_sdt=2005&sciodt=2007&hl=en	256	2021-12-16 4:18:54	HTML	10.3389/fncir.2018.00053							120	40	30	4	3	Most elementary behaviors such as moving the arm to grasp an object or walking into the next room to explore a museum evolve on the time scale of seconds; in contrast, neuronal action potentials occur on the time scale of a few milliseconds. Learning rules of the brain must …	https://www.frontiersin.org/articles/10.3389/fncir.2018.00053/full	https://scholar.google.com/scholar?q=related:wzwKvD4MPeIJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
117	E Rietveld, D Denys, ...	Ecological-enactive cognition as engaging with a field of relevant affordances	2018	The Oxford handbook of 4E …	books.google.com	https://books.google.com/books?hl=en&lr=&id=eh1rDwAAQBAJ&oi=fnd&pg=PA41&dq=%22active+inference%22+or+%22free+energy+principle%22&ots=MiXcKhD4zF&sig=lyzxKshi-8NYKwKY1KORd6xI-aw	https://scholar.google.com/scholar?cites=10199745870932140495&as_sdt=2005&sciodt=2007&hl=en	127	2021-12-16 4:18:54									117	39	39	3	3	… On our (Bruineberg and Rietveld 2014; Bruineberg, Kiverstein, and Rietveld 2016) interpretation, Friston’s free energy principle applied to … The free-energy principle: a unified brain theory? Nature Reviews Neuroscience, 11 (2), 127–38. doi: 10.1038/nrn2787 Friston, K.(2011). …	https://www.researchgate.net/profile/Maarten-Westen/publication/343699545_Ecological-Enactive_Cognition_as_Engaging_with_a_Field_of_Relevant_Affordances_The_Skilled_Intentionality_Framework_SIF/links/60350648a6fdcc37a847f71e/Ecological-Enactive-Cognition-as-Engaging-with-a-Field-of-Relevant-Affordances-The-Skilled-Intentionality-Framework-SIF.pdf	https://scholar.google.com/scholar?q=related:z-EqPNTGjI0J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
116	JE Clark, S Watson, KJ Friston	What is mood? A computational perspective	2018	Psychological medicine	cambridge.org	https://www.cambridge.org/core/journals/psychological-medicine/article/what-is-mood-a-computational-perspective/5FA0177A965FF3EE01D4AA5C09C0A2A5	https://scholar.google.com/scholar?cites=3222987843056182183&as_sdt=2005&sciodt=2007&hl=en	36	2021-12-16 4:18:54									116	38.67	39	3	3	… The free energy principle (aka active inference), and its instantiation in the Bayesian brain, offers a complete and simple formulation of mood. It has been proposed that emotions reflect the precision of - or certainty about - the predicted sensorimotor/interoceptive consequences …	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5FA0177A965FF3EE01D4AA5C09C0A2A5/S0033291718000430a.pdf/what_is_mood_a_computational_perspective.pdf	https://scholar.google.com/scholar?q=related:pyPE_F1auiwJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
116	S Atzil, W Gao, I Fradkin, LF Barrett	Growing a social brain	2018	Nature Human Behaviour	nature.com	https://www.nature.com/articles/s41562-018-0384-6	https://scholar.google.com/scholar?cites=2243912622293208971&as_sdt=2005&sciodt=2007&hl=en	211	2021-12-16 4:18:54									116	38.67	29	4	3	It has long been assumed that social animals, such as humans, are born with a brain system that has evolved to support social affiliation. However, the evidence does not necessarily support this assumption. Alternatively, social animals can be defined as those who cannot …	https://scholars.huji.ac.il/sites/default/files/atzillab/files/atzil_et_al._growing_a_social_brain_2018.pdf	https://scholar.google.com/scholar?q=related:i0_NJqT6Ix8J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
107	T Parr, KJ Friston	The anatomy of inference: generative models and brain structure	2018	Frontiers in computational …	internal-journal.frontiersin.org	https://internal-journal.frontiersin.org/articles/10.3389/fncom.2018.00090/full	https://scholar.google.com/scholar?cites=14940857385776380068&as_sdt=2005&sciodt=2007&hl=en	65	2021-12-16 4:18:54	HTML	10.3389/fncom.2018.00090							107	35.67	54	2	3	… Active inference is a principled framework that frames perception and action as approximate Bayesian inference. This has been successful in accounting for a wide range of physiological and behavioral phenomena. Recently, a process theory has emerged that attempts to …	https://internal-journal.frontiersin.org/articles/10.3389/fncom.2018.00090/full	https://scholar.google.com/scholar?q=related:pPj43qGWWM8J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
103	Y Zhou, KJ Friston, P Zeidman, J Chen, S Li, ...	The hierarchical organization of the default, dorsal attention and salience networks in adolescents and young adults	2018	Cerebral …	academic.oup.com	https://academic.oup.com/cercor/article-abstract/28/2/726/4637602	https://scholar.google.com/scholar?cites=7734548622524372600&as_sdt=2005&sciodt=2007&hl=en	243	2021-12-16 9:10:44									103	34.33	17	6	3	An important characteristic of spontaneous brain activity is the anticorrelation between the core default network (cDN) and the dorsal attention network (DAN) and the salience network (SN). This anticorrelation may constitute a key aspect of functional anatomy and is …	https://academic.oup.com/cercor/article/28/2/726/4637602	https://scholar.google.com/scholar?q=related:eFaNJ_6iVmsJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
97	A Clark	A nice surprise? Predictive processing and the active pursuit of novelty	2018	Phenomenology and the Cognitive Sciences	Springer	https://link.springer.com/article/10.1007/s11097-017-9525-z	https://scholar.google.com/scholar?cites=2049425485722377005&as_sdt=2005&sciodt=2007&hl=en	72	2021-12-16 4:18:54	HTML	10.1007/s11097-017-9525-z							97	32.33	97	1	3	… Even well-adapted darkness-dwellers (troglodytes) would ‘predict’ motion, foraging, and feeding, and those predictions would (courtesy of the standard PP apparatus of ‘active inference’ described earlier) help bring such motions and foraging expeditions about. In much the …	https://link.springer.com/article/10.1007/s11097-017-9525-z	https://scholar.google.com/scholar?q=related:LVsd9p4FcRwJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
94	K Friston	Am I self-conscious?(Or does self-organization entail self-consciousness?)	2018	Frontiers in psychology	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00579/full?utm_source=F-AAE&utm_medium=EMLF&utm_campaign=MRK_624802_69_Psycho_20180503_arts_A	https://scholar.google.com/scholar?cites=10734667906050083227&as_sdt=2005&sciodt=2007&hl=en	71	2021-12-16 4:18:54	HTML	10.3389/fpsyg.2018.00579							94	31.33	94	1	3	… Furthermore, this purposeful and possibly mindful active inference has all the hallmarks of … Furthermore, because active inference is necessarily system-centric the self-evidencing of … (ie, uncertainty) figures so centrally in active inference has led to a number of interesting insights…	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00579/full?utm_source=F-AAE&utm_medium=EMLF&utm_campaign=MRK_624802_69_Psycho_20180503_arts_A	https://scholar.google.com/scholar?q=related:m8nm-ZUz-ZQJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
93	R Smith, WDS Killgore, RD Lane	The structure of emotional experience and its relation to trait emotional awareness: A theoretical review.	2018	Emotion	psycnet.apa.org	https://psycnet.apa.org/record/2017-52401-001	https://scholar.google.com/scholar?cites=6192868424481072576&as_sdt=2005&sciodt=2007&hl=en	267	2021-12-16 4:18:54									93	31	31	3	3	Emotional experience (EE) and trait emotional awareness (tEA) have recently become topics of considerable experimental/theoretical interest within the cognitive and neural sciences. However, to date there has been limited empirical focus on how individual differences in the …		https://scholar.google.com/scholar?q=related:wGXtVQV98VUJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
93	T Parr, G Rees, KJ Friston	Computational neuropsychology and Bayesian inference	2018	Frontiers in human neuroscience	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fnhum.2018.00061/full?utm_source=G-BLO&utm_medium=WEXT&utm_campaign=ECO_FNHUM_20180216_bayesian-models	https://scholar.google.com/scholar?cites=16240391010568121310&as_sdt=2005&sciodt=2007&hl=en	83	2021-12-16 4:18:54	HTML	10.3389/fnhum.2018.00061							93	31	31	3	3	Computational theories of brain function have become very influential in neuroscience. They have facilitated the growth of formal approaches to disease, particularly in psychiatric research. In this paper, we provide a narrative review of the body of computational research …	https://www.frontiersin.org/articles/10.3389/fnhum.2018.00061/full?utm_source=G-BLO&utm_medium=WEXT&utm_campaign=ECO_FNHUM_20180216_bayesian-models	https://scholar.google.com/scholar?q=related:3itcLpR1YeEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
90	P Vuust, MJ Dietz, M Witek, ...	Now you hear it: A predictive coding model for understanding rhythmic incongruity	2018	Annals of the New York …	core.ac.uk	https://core.ac.uk/download/pdf/185507775.pdf	https://scholar.google.com/scholar?cites=15681748659419573053&as_sdt=2005&sciodt=2007&hl=en	88	2021-12-16 4:18:54	PDF								90	30	23	4	3	… Another perspective on the paradoxical attractiveness of prediction errors is that they play a central role in active inference formulations of predictive processing. In this instance, prediction errors … The free-energy principle: a unified brain theory? Nat Rev Neurosci. 11: 127-138. …	https://core.ac.uk/download/pdf/185507775.pdf	https://scholar.google.com/scholar?q=related:PWup_VHDoNkJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
87	J Bruineberg, E Rietveld, T Parr, L van Maanen, ...	Free-energy minimization in joint agent-environment systems: A niche construction perspective	2018	Journal of theoretical …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0022519318303151	https://scholar.google.com/scholar?cites=9420848402572378964&as_sdt=2005&sciodt=2007&hl=en	19	2021-12-16 4:18:54	HTML								87	29	17	5	3	… The free-energy principle is an attempt to explain the structure of the agent and its brain, … simulation of niche construction under the free-energy principle. Agent-centered treatments … We will provide a general introduction to active inference and the free-energy principle. Using …	https://www.sciencedirect.com/science/article/pii/S0022519318303151	https://scholar.google.com/scholar?q=related:VAMiVrWTvYIJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
82	D Williams	Predictive processing and the representation wars	2018	Minds and Machines	Springer	https://link.springer.com/article/10.1007/s11023-017-9441-6	https://scholar.google.com/scholar?cites=1670974403592591983&as_sdt=2005&sciodt=2007&hl=en	97	2021-12-16 4:18:54	HTML	10.1007/s11023-017-9441-6							82	27.33	82	1	3	… In the most ambitious formulation of predictive processing to be considered here, however, active inference is extended to explain what would … For our purposes, what is crucial about the free-energy principle is its emphasis on the extent to which internal representation is …	https://link.springer.com/article/10.1007/s11023-017-9441-6	https://scholar.google.com/scholar?q=related:bxro6l1-MBcJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
82	M Solms, K Friston	How and why consciousness arises: some considerations from physics and physiology	2018	Journal of Consciousness Studies	discovery.ucl.ac.uk	https://discovery.ucl.ac.uk/id/eprint/10057681/	https://scholar.google.com/scholar?cites=17251335658268986782&as_sdt=2005&sciodt=2007&hl=en	84	2021-12-16 4:18:54									82	27.33	41	2	3	… Thus, the basic form of Friston’s free-energy principle supports the idea that the energetic levels of spontaneous brain activity, which are … However, we elected to deal with precision for consistency with current treatments of active inference in emotion and psychopathology (Clark…	https://discovery.ucl.ac.uk/id/eprint/10057681/1/Friston_Paper.pdf	https://scholar.google.com/scholar?q=related:ng0nNGEOae8J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
80	R Auksztulewicz, CM Schwiedrzik, ...	Not all predictions are equal:“What” and “when” predictions modulate activity in auditory cortex through different mechanisms	2018	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/38/40/8680.short	https://scholar.google.com/scholar?cites=8359626806647327610&as_sdt=2005&sciodt=2007&hl=en	215	2021-12-16 9:10:44									80	26.67	27	3	3	Using predictions based on environmental regularities is fundamental for adaptive behavior. While it is widely accepted that predictions across different stimulus attributes (eg, time and content) facilitate sensory processing, it is unknown whether predictions across these …	https://www.jneurosci.org/content/jneuro/38/40/8680.full.pdf	https://scholar.google.com/scholar?q=related:egsMGUpcA3QJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
79	M Colombo, C Wright	First principles in the life sciences: the free-energy principle, organicism, and mechanism	2018	Synthese	Springer	https://link.springer.com/article/10.1007/s11229-018-01932-w	https://scholar.google.com/scholar?cites=2931189679812570342&as_sdt=2005&sciodt=2007&hl=en	28	2021-12-16 4:18:54	HTML	10.1007/s11229-018-01932-w							79	26.33	40	2	3	… The free-energy principle states that all systems … the free-energy principle relates to prominent theoretical approaches to life science phenomena, such as organicism and mechanism. This paper clarifies both issues, and identifies limits and prospects for the free-energy principle …	https://link.springer.com/article/10.1007/s11229-018-01932-w	https://scholar.google.com/scholar?q=related:5uyE0nutrSgJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
76	LR Swanson	Unifying theories of psychedelic drug effects	2018	Frontiers in pharmacology	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fphar.2018.00172/full?fbclid=IwAR3VUOImYYN3HMRKpAD_S_mTIkK_ne47RXEfHbLIK3zeWq-TiKZyBvC5X28	https://scholar.google.com/scholar?cites=6448658406715516340&as_sdt=2005&sciodt=2007&hl=en	148	2021-12-16 4:18:54	HTML	10.3389/fphar.2018.00172							76	25.33	76	1	3	… Active inference shows how internal models do not merely generate top-down (inference) … This is known as active inference. An intuitive example of this process (when it is raised into … The principle of active inference hints at a resolution to the apparent tensions between Osmond…	https://www.frontiersin.org/articles/10.3389/fphar.2018.00172/full?fbclid=IwAR3VUOImYYN3HMRKpAD_S_mTIkK_ne47RXEfHbLIK3zeWq-TiKZyBvC5X28	https://scholar.google.com/scholar?q=related:tGUdiqc8flkJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
76	M Allen, M Tsakiris	The body as first prior: Interoceptive predictive processing and the primacy	2018	The interoceptive mind: From homeostasis …	books.google.com	https://books.google.com/books?hl=en&lr=&id=n0VvDwAAQBAJ&oi=fnd&pg=PA27&dq=%22active+inference%22+or+%22free+energy+principle%22&ots=phgW66v3q-&sig=IUXbkp8pHgM6efZAspc4_J4a3TM	https://scholar.google.com/scholar?cites=1055385019018743425&as_sdt=2005&sciodt=2007&hl=en	67	2021-12-16 4:18:54									76	25.33	38	2	3	… theory of predictive processing is found in the Free Energy Principle (FEP) as developed by Karl … to render it closer to one's predictions (active inference) or through updating one's internal states … The anticipating brain is not a scientist: The freeenergy principle from an ecological-…		https://scholar.google.com/scholar?q=related:gY7hRxV7pQ4J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
75	J De Houwer	Propositional models of evaluative conditioning	2018	Social Psychological Bulletin	spb.psychopen.eu	https://spb.psychopen.eu/index.php/spb/article/view/2461	https://scholar.google.com/scholar?cites=10233955896968597727&as_sdt=2005&sciodt=2007&hl=en	224	2021-12-16 4:18:54									75	25	75	1	3	Although propositional models of associative learning are often referred to in the literature on evaluative conditioning (EC), it has not yet been clearly stipulated what propositional models of EC entail. The aim of this paper is to describe in more detail the assumptions of …	https://spb.psychopen.eu/index.php/spb/article/download/2461/1451	https://scholar.google.com/scholar?q=related:39DTnapQBo4J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
74	MD Kirchhoff, I Robertson	Enactivism and predictive processing: A non-representational view	2018	Philosophical Explorations	Taylor & Francis	https://www.tandfonline.com/doi/abs/10.1080/13869795.2018.1477983	https://scholar.google.com/scholar?cites=16523153170261802814&as_sdt=2005&sciodt=2007&hl=en	77	2021-12-16 4:18:54		10.1080/13869795.2018.1477983							74	24.67	37	2	3	… So can generative models via active inference. One way to make this idea explicit is by … process from which such models emerge, through active inference. We have already seen that a generative … We know that this can be done through active inference and perceptual inference. …	https://www.researchgate.net/profile/Michael-Kirchhoff/publication/324845033_Enactivism_and_Predictive_Processing_A_Non-Representational_View/links/5ae78775a6fdcc03cd8db2b2/Enactivism-and-Predictive-Processing-A-Non-Representational-View.pdf	https://scholar.google.com/scholar?q=related:Pv_S0kMITuUJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
73	A Kiefer, J Hohwy	Content and misrepresentation in hierarchical generative models	2018	Synthese	Springer	https://link.springer.com/article/10.1007/s11229-017-1435-7	https://scholar.google.com/scholar?cites=8667052754827907467&as_sdt=2005&sciodt=2007&hl=en	123	2021-12-16 4:18:54		10.1007/s11229-017-1435-7							73	24.33	37	2	3	… The PEM framework assumes that mental representation is a matter of probabilistic perceptual and active inference, precision optimization and complexity reduction, through which a system infers the hidden causes of its sensory input, in a process similar to that described …	http://www.fc.uaem.mx/~bruno/material/6-andres-Kiefer-Hohwy2018_Article_ContentAndMisrepresentationInH.pdf	https://scholar.google.com/scholar?q=related:i5EWfY-OR3gJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
72	M Gendron, LF Barrett	Emotion perception as conceptual synchrony	2018	Emotion Review	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1177/1754073917705717	https://scholar.google.com/scholar?cites=12794356785726575893&as_sdt=2005&sciodt=2007&hl=en	190	2021-12-16 4:18:54		10.1177/1754073917705717							72	24	36	2	3	… An active inference theory of allostasis and interoception in depression. Philosophical Transactions of the Royal Society B: Biological Sciences, 371. doi:10.1098/rstb.… The free-energy principle: A unified brain theory? Nature Reviews. Neuroscience, 11, 127–138. …	https://www.affective-science.org/pubs/2018/gendron-barrett-2018-emotion-review.pdf	https://scholar.google.com/scholar?q=related:FVXXjrWvjrEJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
71	HJ Park, KJ Friston, C Pae, B Park, A Razi	Dynamic effective connectivity in resting state fMRI	2018	NeuroImage	Elsevier	https://www.sciencedirect.com/science/article/pii/S1053811917309606	https://scholar.google.com/scholar?cites=13708800382491879933&as_sdt=2005&sciodt=2007&hl=en	321	2021-12-16 9:10:44	HTML								71	23.67	14	5	3	Context-sensitive and activity-dependent fluctuations in connectivity underlie functional integration in the brain and have been studied widely in terms of synaptic plasticity, learning and condition-specific (eg, attentional) modulations of synaptic efficacy. This dynamic aspect …	https://www.sciencedirect.com/science/article/pii/S1053811917309606	https://scholar.google.com/scholar?q=related:_ekqx1BxP74J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
68	AP Owens, M Allen, S Ondobaka, KJ Friston	Interoceptive inference: from computational neuroscience to clinic	2018	… & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763417303573	https://scholar.google.com/scholar?cites=7476684378290827596&as_sdt=2005&sciodt=2007&hl=en	46	2021-12-16 4:18:54									68	22.67	17	4	3	… Active inference under the free-energy principle Under the free-energy principle, ‘active inference’ refers to the bilateral reduction of free-energy when: (i) prediction errors ascend the cortical hierarchy to change predictions, or (ii) prediction errors descend to the periphery to …	https://kclpure.kcl.ac.uk/portal/files/113074905/Interoceptive_inference_From_computational_OWENS_Published_Online_22_April_2018_GREEN_AAM.pdf	https://scholar.google.com/scholar?q=related:TLG8MdSEwmcJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
67	RV Rikhye, RD Wimmer, ...	Toward an integrative theory of thalamic function	2018	Annual review of …	annualreviews.org	https://www.annualreviews.org/doi/abs/10.1146/annurev-neuro-080317-062144	https://scholar.google.com/scholar?cites=18060050802991492583&as_sdt=2005&sciodt=2007&hl=en	273	2021-12-16 4:18:54		10.1146/annurev-neuro-080317-062144							67	22.33	22	3	3	The thalamus has long been suspected to have an important role in cognition, yet recent theories have favored a more corticocentric view. According to this view, the thalamus is an excitatory feedforward relay to or between cortical regions, and cognitively relevant …	https://drive.google.com/file/d/13aFk9dNUotjJ_MomyxDMoh6RxpJ7bivy/view	https://scholar.google.com/scholar?q=related:5-3Q4YQwovoJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
66	J Limanowski, K Friston	Seeing the dark': grounding phenomenal transparency and opacity in precision estimation for active inference	2018	Frontiers in psychology	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00643/full	https://scholar.google.com/scholar?cites=1987256213276085030&as_sdt=2005&sciodt=2007&hl=en	14	2021-12-16 4:18:54	HTML	10.3389/fpsyg.2018.00643							66	22	33	2	3	… Active inference can be situated within a larger ‘free-energy principle,’ along which any living system will actively try to remain in a set of unsurprising states by performing inference; ie, model selection and inversion (Friston, 2010; cf. Hohwy, 2013; Clark, 2015). The models in …	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00643/full	https://scholar.google.com/scholar?q=related:JksCPv8mlBsJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
65	J Engström, J Bärgman, D Nilsson, ...	Great expectations: a predictive processing account of automobile driving	2018	Theoretical issues in …	Taylor & Francis	https://www.tandfonline.com/doi/abs/10.1080/1463922X.2017.1306148	https://scholar.google.com/scholar?cites=1129967006803777952&as_sdt=2005&sciodt=2007&hl=en	118	2021-12-16 4:18:54		10.1080/1463922X.2017.1306148							65	21.67	16	4	3	… To explain the key principles underlying predictive processing in some further detail, we focus here on three principal mechanisms: (1) active inference (accounting for the traditional concepts of perception and action), (2) precision (relating to the confidence in predictions but …	https://eprints.whiterose.ac.uk/114453/1/PP_paper_postprint_for_selfarchiving.pdf	https://scholar.google.com/scholar?q=related:oFlzgAFzrg8J:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
65	GN Saxe, D Calderone, LJ Morales	Brain entropy and human intelligence: A resting-state fMRI study	2018	PloS one	journals.plos.org	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0191582	https://scholar.google.com/scholar?cites=13181827207476005379&as_sdt=2005&sciodt=2007&hl=en	93	2021-12-16 4:18:54	HTML								65	21.67	22	3	3	… brain integrates the notion of active inference as a central means by which the brain avoids surprising states [49]. Active inference is a fundamental … Briefly, active inference involves inference on hidden states of the world and future control states given prior beliefs about action. …	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0191582	https://scholar.google.com/scholar?q=related:A8ovQAFC77YJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
65	RE Fabry	Betwixt and between: the enculturated predictive processing approach to cognition	2018	Synthese	Springer	https://link.springer.com/article/10.1007/s11229-017-1334-y	https://scholar.google.com/scholar?cites=1979537537033750316&as_sdt=2005&sciodt=2007&hl=en	129	2021-12-16 4:18:54		10.1007/s11229-017-1334-y							65	21.67	65	1	3	… Perceptual inference and active inference are computationally similar and highly interactive means of minimizing prediction error. In both … Precision estimations also orchestrate the relationship of perceptual inference and active inference. The minimization of prediction error …	https://www.academia.edu/download/52103102/Fabry_2017_Final_Version_Betwixt_and_Between._The_EPP_Approach_to_Cognition.pdf	https://scholar.google.com/scholar?q=related:LMdy4ua6eBsJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
65	M Cullen, B Davey, KJ Friston, RJ Moran	Active inference in OpenAI Gym: A paradigm for computational investigations into psychiatric illness	2018	Biological psychiatry: cognitive …	Elsevier	https://www.sciencedirect.com/science/article/pii/S2451902218301617	https://scholar.google.com/scholar?cites=18164988857040064614&as_sdt=2005&sciodt=2007&hl=en	7	2021-12-16 4:18:54									65	21.67	16	4	3	… Overall, we show that as a dual normative and process theory of the brain, active inference under the free energy principle may be used to reveal structure in behavior and imaging markers in novel experimental settings, allowing clinicians and patients to gain a more …	https://kclpure.kcl.ac.uk/portal/files/98318293/1_s2.0_S2451902218301617_main.pdf	https://scholar.google.com/scholar?q=related:ZlDNjB8BF_wJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
64	K Ueltzhöffer	Deep active inference	2018	Biological cybernetics	Springer	https://link.springer.com/article/10.1007/s00422-018-0785-7	https://scholar.google.com/scholar?cites=4065703192873075335&as_sdt=2005&sciodt=2007&hl=en	2	2021-12-16 4:18:54		10.1007/s00422-018-0785-7							64	21.33	64	1	3	… In summary, this work casts the free energy principle and active inference in terms of deep learning and evolution strategies. Conceptually, this could be regarded as ‘active evolution’, where the fitness function is replaced with the path integral of free energy over the dynamics …	https://arxiv.org/pdf/1709.02341	https://scholar.google.com/scholar?q=related:hwJfTYNHbDgJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2018
